# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.00656224,0.2733,0.6985,0.5416,0.925
0.022477292,0.2234,0.7229,0.5006,0.907
0.027755625,0.1619,0.7454,0.5221,0.924
0.031943907,0.1584,0.7468,0.5289,0.929
0.034660105,0.1614,0.7454,0.5338,0.931
0.037840521,0.1736,0.7390,0.5416,0.933
0.042342292,0.1794,0.7351,0.5709,0.948
0.044869375,0.1775,0.7346,0.5910,0.959
0.047773907,0.1755,0.7356,0.6110,0.972
0.050554532,0.1775,0.7346,0.6247,0.981
0.053070469,0.1804,0.7327,0.6335,0.985
0.057568282,0.1858,0.7219,0.6467,0.987
0.060481615,0.1873,0.7180,0.6540,0.989
0.065756563,0.1843,0.7146,0.6960,1.014
0.07023573,0.1770,0.7146,0.7327,1.039
0.075416303,0.1765,0.7161,0.7395,1.044
0.079941146,0.1736,0.7209,0.7356,1.045
0.082548178,0.1687,0.7244,0.7332,1.044
0.085137292,0.1643,0.7283,0.7244,1.040
0.092051459,0.1609,0.7341,0.7195,1.040
0.09620448,0.1545,0.7410,0.7146,1.041
0.099513803,0.1316,0.7595,0.6799,1.028
0.102863021,0.1130,0.7693,0.6467,1.011
0.108758021,0.0925,0.7713,0.6056,0.985
0.112788646,0.0754,0.7732,0.5709,0.964
0.116027917,0.0715,0.7742,0.5543,0.955
0.120472136,0.0680,0.7757,0.5426,0.949
0.12360323,0.0563,0.7698,0.5231,0.932
0.128031563,0.0338,0.7556,0.5118,0.913
0.130853855,0.0343,0.7532,0.5187,0.915
0.133922605,0.0382,0.7547,0.5235,0.919
0.137975678,0.0446,0.7600,0.5377,0.932
0.140730209,0.0495,0.7610,0.5441,0.937
0.145294167,0.0597,0.7591,0.5480,0.938
0.148224636,0.0666,0.7561,0.5534,0.939
0.153052969,0.0763,0.7459,0.5685,0.941
0.155566407,0.0788,0.7410,0.5768,0.942
0.158093386,0.0832,0.7356,0.5890,0.946
0.164260886,0.0890,0.7385,0.6262,0.972
0.168327448,0.0959,0.7346,0.6452,0.982
0.171209375,0.0964,0.7371,0.6623,0.996
0.175946719,0.0998,0.7400,0.6931,1.019
0.180839636,0.1062,0.7346,0.7014,1.021
0.188345209,0.0983,0.7439,0.7415,1.055
0.190879584,0.0954,0.7464,0.7493,1.062
0.193533542,0.0895,0.7459,0.7522,1.063
0.196038802,0.0827,0.7517,0.7708,1.080
0.200739323,0.0661,0.7610,0.7845,1.095
0.203660157,0.0622,0.7615,0.7820,1.093
0.206399323,0.0568,0.7630,0.7850,1.096
0.209042292,0.0480,0.7654,0.7938,1.104
0.213929271,0.0338,0.7727,0.8001,1.113
0.216717605,0.0294,0.7732,0.7977,1.111
0.221184844,0.0202,0.7708,0.7889,1.103
0.226115521,0.0153,0.7669,0.7835,1.096
0.231899011,0.0236,0.7649,0.7845,1.096
0.236010261,0.0348,0.7605,0.7810,1.091
0.24097099,0.0358,0.7561,0.7791,1.086
0.243624115,0.0377,0.7527,0.7752,1.081
0.246544427,0.0426,0.7512,0.7723,1.078
0.251346459,0.0539,0.7449,0.7630,1.068
0.25385875,0.0617,0.7415,0.7561,1.061
0.258525052,0.0749,0.7351,0.7493,1.052
0.261139271,0.0783,0.7312,0.7459,1.047
0.265592969,0.0827,0.7278,0.7424,1.043
0.268671823,0.0861,0.7249,0.7380,1.038
0.273674427,0.0832,0.7224,0.7278,1.029
0.278819271,0.0827,0.7224,0.7190,1.023
0.283970261,0.0817,0.7239,0.7131,1.019
0.293893125,0.0798,0.7253,0.7082,1.017
0.296791355,0.0729,0.7346,0.6809,1.004
0.305796407,0.0710,0.7356,0.6750,1.001
0.311311042,0.0715,0.7542,0.6608,1.005
0.314330677,0.0759,0.7595,0.6506,1.003
0.319968542,0.0803,0.7654,0.6501,1.007
0.323834219,0.0871,0.7620,0.6354,0.996
0.329383907,0.0964,0.7532,0.6203,0.980
0.334486511,0.1076,0.7454,0.6047,0.966
0.338979792,0.1149,0.7366,0.5968,0.955
0.342337552,0.1184,0.7327,0.5973,0.953
0.347055157,0.1218,0.7293,0.5910,0.947
0.351656615,0.1262,0.7249,0.5817,0.938
0.354271563,0.1262,0.7249,0.5793,0.936
0.358926823,0.1257,0.7244,0.5758,0.934
0.361621198,0.1223,0.7249,0.5758,0.934
0.365183125,0.1203,0.7258,0.5773,0.935
0.369176355,0.1135,0.7297,0.5778,0.938
0.371789115,0.1120,0.7332,0.5807,0.942
0.376574011,0.1076,0.7371,0.5895,0.950
0.379072448,0.1042,0.7380,0.5968,0.955
0.38162974,0.1003,0.7395,0.6047,0.960
0.389509063,0.0939,0.7410,0.6222,0.972
0.393662188,0.0856,0.7410,0.6433,0.985
0.397657032,0.0768,0.7400,0.6643,0.997
0.401976042,0.0685,0.7415,0.6804,1.009
0.407636511,0.0627,0.7454,0.6946,1.021
0.412178073,0.0583,0.7503,0.7058,1.032
0.41704849,0.0558,0.7532,0.7136,1.039
0.422197813,0.0553,0.7527,0.7156,1.040
0.427225886,0.0544,0.7527,0.7214,1.044
0.432729219,0.0495,0.7522,0.7253,1.046
0.437051302,0.0456,0.7532,0.7219,1.044
0.442105677,0.0421,0.7547,0.7205,1.044
0.447239844,0.0382,0.7556,0.7136,1.040
0.452132865,0.0368,0.7566,0.7063,1.036
0.454744636,0.0358,0.7566,0.7019,1.033
0.458131094,0.0358,0.7571,0.7009,1.032
0.462216407,0.0329,0.7561,0.7048,1.034
0.465257761,0.0294,0.7576,0.7058,1.036
0.470328698,0.0231,0.7581,0.6999,1.032
0.4752,0.0231,0.7566,0.6926,1.026
0.478575573,0.0250,0.7586,0.6863,1.023
0.482614115,0.0314,0.7586,0.6784,1.018
0.485800886,0.0343,0.7586,0.6736,1.015
0.489392969,0.0358,0.7576,0.6692,1.011
0.493616354,0.0412,0.7581,0.6599,1.006
0.4962725,0.0421,0.7581,0.6545,1.002
0.499621511,0.0451,0.7591,0.6506,1.001
0.502381198,0.0500,0.7605,0.6428,0.997
0.505282292,0.0514,0.7610,0.6413,0.997
0.508160521,0.0548,0.7620,0.6364,0.994
0.512365625,0.0583,0.7625,0.6315,0.992
0.515417292,0.0597,0.7635,0.6291,0.991
0.520597657,0.0592,0.7615,0.6252,0.987
0.525271511,0.0573,0.7625,0.6213,0.985
0.528143646,0.0583,0.7625,0.6247,0.987
0.532132917,0.0563,0.7615,0.6257,0.987
0.53605349,0.0514,0.7600,0.6266,0.986
0.539790625,0.0509,0.7615,0.6266,0.988
0.543765104,0.0500,0.7600,0.6271,0.987
0.547537917,0.0514,0.7620,0.6237,0.986
0.553039688,0.0524,0.7615,0.6222,0.985
0.557659896,0.0553,0.7649,0.6188,0.985
0.564134948,0.0558,0.7683,0.6120,0.984
0.566983282,0.0592,0.7708,0.6100,0.985
0.571855573,0.0622,0.7723,0.6012,0.981
0.575435365,0.0568,0.7737,0.5910,0.975
0.578394688,0.0553,0.7742,0.5910,0.976
0.583631198,0.0529,0.7791,0.5846,0.975
0.586291667,0.0495,0.7806,0.5807,0.974
0.597123334,0.0495,0.7830,0.5807,0.976
0.612711771,0.0490,0.7776,0.5802,0.971
0.61764875,0.0519,0.7718,0.5973,0.977
0.623643906,0.0563,0.7708,0.6007,0.979
0.628315104,0.0588,0.7698,0.6091,0.983
0.63250349,0.0607,0.7683,0.6144,0.986
0.637905625,0.0627,0.7683,0.6227,0.991
0.641047031,0.0632,0.7674,0.6320,0.996
